Query,Best,run_00,run_01,run_02,run_03,run_04,run_05,run_06,run_07,run_08,run_09,Mean,Std
query_001,1.341,80,83,83,77,84,81,83,84,81,82,81.8,2.0396078054371136
query_002,0.927,93,92,93,89,91,91,92,92,90,92,91.5,1.2041594578792296
query_003,1.191,100,100,100,100,100,100,100,100,100,100,100.0,0.0
query_004,1.201,87,78,95,94,92,88,92,71,95,88,88.0,7.4565407529228995
query_005,1.21,97,95,95,94,96,93,93,94,94,95,94.6,1.2
query_006,1.129,82,87,87,85,89,80,78,88,87,86,84.9,3.477067730142742
query_007,1.277,80,85,86,85,86,81,82,85,81,72,82.3,4.050925820105819
query_008,1.514,94,90,94,96,96,95,92,94,94,92,93.7,1.7916472867168918
query_009,1.041,81,82,86,81,83,79,81,79,80,87,81.9,2.5865034312755126
query_010,1.245,84,82,85,82,82,84,83,81,82,83,82.8,1.16619037896906
query_011,1.333,85,87,81,85,87,83,65,65,81,86,80.5,8.0156097709407
query_012,1.184,98,98,98,98,98,98,98,99,97,98,98.0,0.4472135954999579
query_013,0.974,54,50,50,57,53,53,54,48,55,58,53.2,2.9933259094191533
query_014,0.959,62,60,62,63,58,62,62,61,63,62,61.5,1.4317821063276353
query_015,1.219,93,92,89,93,94,90,94,89,89,91,91.4,1.9595917942265424
query_016,1.314,79,76,76,82,83,79,73,73,81,78,78.0,3.3166247903554
query_017,1.123,84,81,83,82,82,81,84,83,79,84,82.3,1.552417469626002
query_018,1.266,82,80,78,78,77,78,77,76,88,75,78.9,3.5623026261113755
query_019,1.154,34,53,44,33,46,39,40,35,45,77,44.6,12.306096050332128
query_020,1.166,63,58,61,61,63,55,59,62,56,61,59.9,2.6627053911388696
query_021,1.2,93,93,94,95,93,93,92,95,92,95,93.5,1.118033988749895
query_022,1.356,89,90,90,90,88,88,90,89,87,89,89.0,1.0
query_023,1.108,37,38,39,39,37,39,39,40,37,37,38.2,1.0770329614269007
query_024,1.226,79,87,80,96,80,82,87,85,94,87,85.7,5.514526271584895
query_025,1.258,96,99,98,98,98,99,98,95,98,99,97.8,1.2489995996796797
query_026,0.941,90,90,90,90,89,89,90,89,89,90,89.6,0.4898979485566356
query_027,1.401,98,97,97,95,99,99,95,84,99,98,96.1,4.276680956068619
query_028,1.135,52,48,49,48,47,49,43,52,50,55,49.3,3.1
query_029,1.254,89,91,75,83,94,84,87,88,84,90,86.5,5.044799302251775
query_030,0.99,98,99,99,97,99,99,100,98,98,98,98.5,0.806225774829855
query_031,0.977,68,69,63,66,70,67,73,64,70,70,68.0,2.898275349237888
query_032,1.251,98,96,95,99,95,94,97,99,93,97,96.3,1.9519221295943134
query_033,1.115,79,80,77,77,72,79,80,79,76,77,77.6,2.2891046284519194
query_034,1.18,70,72,74,70,65,72,74,73,70,70,71.0,2.5298221281347035
query_035,0.571,51,43,56,48,48,53,56,56,42,61,51.4,5.834380858325929
query_036,1.155,56,57,57,55,56,55,57,57,56,55,56.1,0.8306623862918076
query_037,0.873,59,67,67,63,61,62,59,65,64,62,62.9,2.7367864366808017
query_038,1.042,49,48,46,48,48,39,48,48,50,45,46.9,2.947880594596735
query_039,0.963,42,38,49,42,44,52,42,52,45,49,45.5,4.522167621838006
query_040,1.001,64,73,66,70,71,68,68,75,71,72,69.8,3.1559467676119
query_041,1.391,31,48,66,71,60,72,57,73,60,73,61.1,12.731457104353765
query_042,1.399,81,83,76,79,76,78,81,79,78,83,79.4,2.416609194718914
query_043,1.269,90,88,89,92,92,90,88,91,91,90,90.1,1.374772708486752
query_044,1.113,78,75,76,77,75,74,74,77,75,76,75.7,1.2688577540449522
query_045,1.209,44,43,48,46,46,43,45,43,45,46,44.9,1.57797338380595
query_046,1.238,85,86,86,87,87,87,87,87,87,87,86.6,0.66332495807108
query_047,1.197,90,82,88,87,87,84,83,81,88,84,85.4,2.8354893757515653
query_048,1.235,95,97,95,93,95,93,93,92,94,92,93.9,1.5132745950421556
query_049,1.256,64,63,48,58,63,53,64,61,55,52,58.1,5.485435260760991
query_050,1.074,50,48,54,52,45,49,52,51,49,48,49.8,2.4413111231467406
query_051,1.064,40,45,45,41,37,39,38,40,42,43,41.0,2.6076809620810595
query_052,1.073,83,81,82,80,85,84,85,84,84,83,83.1,1.57797338380595
query_053,1.041,42,35,46,37,42,38,37,44,42,42,40.5,3.3541019662496847
query_054,1.282,76,72,76,73,74,73,68,76,76,77,74.1,2.5865034312755126
query_055,1.157,82,86,87,86,88,82,83,86,84,84,84.8,1.9899748742132397
query_056,1.002,71,83,80,79,85,77,80,75,81,76,78.7,3.874274125562103
query_057,1.142,96,97,95,92,96,91,93,92,95,96,94.3,2.0024984394500787
query_058,1.024,80,73,70,71,77,77,81,78,78,77,76.2,3.4871191548325386
query_059,1.359,94,95,97,96,96,94,94,95,96,94,95.1,1.0440306508910548
query_060,1.371,85,84,86,86,82,88,83,84,75,84,83.7,3.318132004607412
query_061,1.555,96,96,96,96,98,94,97,98,97,98,96.6,1.2
query_062,1.314,91,92,90,90,89,91,92,94,88,90,90.7,1.6155494421403511
query_063,1.302,88,86,91,90,41,91,90,93,81,41,79.2,19.358718965882012
query_064,0.996,74,62,47,72,67,65,69,46,68,71,64.1,9.38562730988185
query_065,1.187,31,43,45,31,43,33,42,27,30,26,35.1,6.949100661236676
query_066,1.176,65,69,63,68,64,67,67,69,64,60,65.6,2.7640549922170505
query_067,1.16,69,76,77,75,80,67,76,76,78,76,75.0,3.7682887362833544
query_068,1.187,72,74,71,75,73,72,70,73,71,69,72.0,1.7320508075688772
query_069,1.255,90,90,86,91,90,91,91,89,88,90,89.6,1.4966629547095764
query_070,1.653,94,99,98,98,98,98,99,98,98,99,97.9,1.3747727084867518
query_071,1.471,97,99,97,100,96,100,99,97,99,99,98.3,1.3453624047073711
query_072,1.271,83,94,80,86,94,95,84,95,94,90,89.5,5.445181356024793
query_073,1.142,56,58,59,58,54,55,60,57,58,57,57.2,1.7204650534085253
query_074,1.239,96,96,94,97,98,98,97,98,97,95,96.6,1.2806248474865698
query_075,1.278,96,91,94,91,93,89,95,93,96,92,93.0,2.1908902300206643
query_076,1.128,45,49,54,49,41,43,24,28,54,45,43.2,9.547774609824009
query_077,1.113,74,74,67,76,69,67,72,71,80,73,72.3,3.848376280978772
query_078,0.894,51,47,52,49,58,45,51,56,52,54,51.5,3.721558813185679
query_079,0.936,91,85,87,87,87,86,90,87,89,86,87.5,1.8027756377319946
query_080,0.943,74,78,77,75,73,77,76,78,72,74,75.4,2.009975124224178
query_081,1.079,57,64,58,47,58,60,50,53,55,63,56.5,5.123475382979799
query_082,1.371,69,76,90,86,92,87,86,90,88,92,85.6,7.045565981523415
